"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"TLB8VLC9","book","2013","García Rivero, Daniel","Arqueología y evolución: a la búsqueda de filogenias culturales","","978-84-472-1490-7","","","","","2013","2023-02-20 20:54:58","2024-03-12 10:44:26","","","","","","","","","","","","","Editorial Universidad de Sevilla","Sevilla","","","","","","","","Series Title: Historia y Geografía / Universidad de Sevilla ; 255","","","","","Arqueología -- Metodología; Evolución (Biología); Evolución social","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"X4DA4S6E","journalArticle","1982","Boyd, Robert; Richerson, Peter J","Cultural transmission and the evolution of cooperative behavior","Human Ecology","","1572-9915","10.1007/BF01531189","https://doi.org/10.1007/BF01531189","Sociobiological theory predicts that humans should not cooperate with large groups of unrelated individuals. This prediction is based on genetic models that show that selection acting on variation between large unrelated groups will generally be much weaker than selection acting on variation between individuals. Recently, several authors have presented related models of human evolution that integrate cultural and genetic transmission of behavior. We show that in such models group selection is potentially a strong force. Data on ethnocentrism is examined in the context of these results.","1982","2023-03-01 20:03:03","2023-04-28 23:27:40","","325-351","","3","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LMKX2BBT","journalArticle","2007","Eerkens, Jelmer W; Lipo, Carl P","Cultural Transmission Theory and the Archaeological Record: Providing Context to Understanding Variation and Temporal Changes in Material Culture","Journal of Archaeological Research","","1573-7756","10.1007/s10814-007-9013-z","https://doi.org/10.1007/s10814-007-9013-z","Cultural transmission (CT) is implicit in many explanations of culture change. Formal CT models were defined by anthropologists 30 years ago and have been a subject of active research in the social sciences in the ensuing years. Although increasing in popularity in recent years, CT has not seen extensive use in archaeological research, despite the quantitative rigor of many CT models and the ability to create testable hypotheses. Part of the reason for the slow adoption, we argue, has been the continuing focus on change in central tendency and mode in archaeology, instead of change in dispersion or variance. Yet archaeological research provides an excellent data source for exploring processes of CT. We review CT research in the anthropological sciences and outline the benefits and drawbacks of this theoretical framework for the study of material culture. We argue that CT can shed much light on our understandings of why material technology changes over time, including explanations of differential rates of change among different technologies. We further argue that transmission processes are greatly affected by the content, context, and mode of transmission and fundamentally structure variation in material culture. Including ideas from CT can provide greater context for explaining and understanding changes in the variation of artifacts over time. Finally, we outline what we feel should be the goals of CT research in archaeology in the coming years.","2007","2023-03-01 20:08:23","2023-06-14 17:14:07","","239-274","","3","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UFUTW3D","book","1981","Cavalli-Sforza, L. L.; Feldman, Marcus W.","Cultural Transmission and Evolution: A Quantitative Approach","","978-0-691-20935-7","","","","A number of scholars have found that concepts such as mutation, selection, and random drift, which emerged from the theory of biological evolution, may also explain evolutionary phenomena in other disciplines as well. Drawing on these concepts, Professors Cavalli-Sforza and Feldman classify and systematize the various modes of transmitting ""culture"" and explore their consequences for cultural evolution. In the process, they develop a mathematical theory of the non-genetic transmission of cultural traits that provides a framework for future investigations in quantitative social and anthropological science.The authors use quantitative models that incorporate the various modes of transmission (for example, parent-child, peer-peer, and teacher-student), and evaluate data from sociology, archaeology, and epidemiology in terms of the models. They show that the various modes of transmission in conjunction with cultural and natural selection produce various rates of cultural evolution and various degrees of diversity within and between groups. The same framework can be used for explaining phenomena as apparently unrelated as linguistics, epidemics, social values and customs, and diffusion of innovations. The authors conclude that cultural transmission is an essential factor in the study of cultural change. Frontmatter -- Preface -- ACKNOWLEDGMENTS -- List of Symbols -- Contents -- 1. Introduction -- 1.1 Man as a cultural animal -- 1.2 The adaptiveness of behavior -- 1.3 Levels of learning -- 1.4 Innate and learned traits -- 1.5 Culture as the object of evolution -- 1.6 The measurement of selection in biology -- 1.7 Two levels of selection and two orders of organisms -- 1.8 Some examples from the evolution of languages -- 1.9 The diffusion of innovations -- 1.10 Epidemics -- 1.11 Cultural transmission -- 1.12 Transmission as a two-stage process -- 1.13 A summary of evolutionary factors in culture -- 1.14 Some caveats and problems -- 2. Vertical Transmission -- 2.1 Introduction -- 2.2 Vertical transmission -- 2.3 Special cases of vertical transmission -- 2.4 Correlations between relatives -- 2.5 Assortative mating -- 2.6 Natural selection -- 2.7 Mutation -- 2.8 Random-sampling drift -- 2.9 Drift and natural selection -- 2.10 Concluding remarks on vertical transmission -- 3. Oblique and Horizontal Transmission -- 3.1 Oblique transmission -- 3.2 Oblique and vertical transmission with natural selection -- 3.3 Sex-influenced transmission -- 3.4 Horizontal transmission -- 3.5 Sib-sib interactions -- 3.6 Migration between populations -- 3.7 Migration dependent on extent of separation -- 3.8 Population stratification -- 3.9 The recent demographic transition as an example of stratified, vertical and oblique or horizontal transmission in cultural change -- 3.10 Random sampling drift: Vertical and oblique transmission -- 3.11 A comparison of special schemes of transmission with random sampling drift: parents versus teachers -- 3.12 Kinetics of cultural change with oblique and horizontal transmission -- 3.13 Variation among populations -- 3.14 Correlation of cultural and biological variation -- 4. Multiple State Traits -- 4.1 Mendelian transmission as an example of a multiple state trait -- 4.2 Vertical transmission for three-state models -- 4.3 Numerical examples of multistate transmission -- 4.4 Assortative mating -- 4.5 Horizontal and oblique transmission -- 4.6 The evolution of surnames: An example of drift in multistate cultural transmission -- 5. Cultural Transmission for a Continuous Trait -- 5.1 Historical considerations on ""blending"" inheritance -- 5.2 Linear transmission -- 5.3 Correlations between relatives -- 5.4 Multivariate linear models -- 5.5 Social stratification, class, and caste -- 5.6 Natural selection, range attenuation, and their effects on the correlations between relatives -- 5.7 Mutation and cultural drift for continuous traits -- 5.8 Upper limits to individual variation under cultural drift -- 5.9 Variation between groups -- 5.10 Cultural selection versus cultural drift -- 5.11 Simple social hierarchies and compartments -- 5.12 Transmission matrices as models of vertical and oblique transmission: Teachers vs. parents -- 6. Epilogue -- 6.1 General considerations -- 6.2 Harmony and conflict of cultural and natural selection -- 6.3 Cultural transmission, communication, and cultural selection -- 6.4 Modes of transmission and their consequences for rates and equilibria under cultural evolution -- 6.5 Chance and purpose in cultural variation -- 6.6 Overlaps with other areas of study -- 6.7 Individual selection and group selection -- 6.8 Cultural activity as an extension of Darwinian fitness -- Bibliography -- Index","1981","2023-03-01 20:14:07","2024-12-03 22:15:20","2023-03-01","","","","16","","","","","","","","Princeton University Press","Princeton","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y6KX7V3F","book","2008","O'Brien, Michael J","Cultural Transmission and Archaeology: Issues and Case Studies","","0-932839-33-9","","","","","2008","2023-03-01 20:15:52","2023-11-21 22:31:46","","","","","","","","","","","","","Society for American Archaeology","Washington, D.C","","","","","","","","","","","","","Arqueología -- Aspecto social; Cultura -- Aspecto social; Tecnología y civilización","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"475E3TI2","journalArticle","1997","Lipo, Carl P; Madsen, Mark E; Dunnell, Robert C; Hunt, Tim","Population Structure, Cultural Transmission, and Frequency Seriation","Journal of Anthropological Archaeology","","0278-4165","https://doi.org/10.1006/jaar.1997.0314","https://www.sciencedirect.com/science/article/pii/S0278416597903147","","1997","2023-03-01 20:30:42","2023-04-28 23:27:40","","301-333","","4","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KYXD5AXD","bookSection","2008","Schiffer, Michael B.","Transmission Processes: A Behavioral Perspective","Cultural Transmission and Archaeology: Issues and Case Studies","","","","","","2008","2023-03-11 20:57:46","2023-06-14 16:54:28","","102-111","","","","","","","","","","","Society for American Archaeology","Washington, D.C.","","","","","","","","","","","","","","O'Brien, Michael J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7QGTKHVR","bookSection","2009","Mesoudi, Alex","The Experimental Study of Cultural Transmission and Its Potential for Explaining Archaeological Data","Cultural Transmission and Archaeology: Issues and Case Studies","","","","","","2009","2023-03-11 20:59:38","2023-11-29 14:53:28","","91-101","","","","","","","","","","","Society for American Archaeology","Washington, D.C.","","","","","","","","","","","","","","O'Brien, Michael J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SGNSBCGY","bookSection","2008","O'Brien, Michael J.; Lyman, R. Lee; Collard, Mark; Holden, Clare J.; Gray, Russell D.; Shennan, Stephen J.","Transmission, Phylogenetics, and the Evolution of Cultural Diversity","Cultural Transmission and Archaeology: Issues and Case Studies","","","","","","2008","2023-03-11 21:02:18","2023-11-21 22:32:30","","39-58","","","","","","","","","","","Society for American Archaeology","Washington, D.C.","","","","","","","","","","","","","","O'Brien, Michael J.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PXTZ5LHF","journalArticle","2022","Coto Sarmiento, María","Darwin en los alfares: un marco teórico evolutivo para entender la producción cerámica","SAGVUNTVM","","","","","","2022","2023-03-17 15:11:48","2023-03-17 15:11:57","","27-42","","54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39D6VS3G","journalArticle","2016","Grove, Matt","Population density, mobility, and cultural transmission","Journal of Archaeological Science","","10959238","10.1016/J.JAS.2016.09.002","","Prompted by the results of a series of recently published simulation models, there is an increasing tendency for archaeologists to invoke demographic variables as explanations for changes in the sophistication or complexity of material culture. Whilst these models are undoubtedly valuable, this paper draws attention to persistent failings in the interpretation and application of these models by archaeologists. Despite having quite different effects, variables such as population size and population density are often used interchangeably; and whilst increasing mobility has an effect broadly equivalent to that of increasing population density, it is rarely given sufficient weight in archaeological explanations of cultural change. The analyses reported here develop a series of new simulations based on the ideal gas model, allowing for an explicit prediction of the encounter rate – the variable for which population density and mobility are proxies, and which ultimately governs the rate of cultural transmission. This model supports the predictions of earlier studies on the effects of population density and mobility, but suggests that population size will have no effect on rates of cultural transmission. These simulations are coupled with analyses that demonstrate a reciprocal correlation between population density and mobility in a large hunter-gatherer dataset. Given this correlation, it is argued that archaeological inferences about cultural transmission based on just one of these variables are unlikely to be valid. These findings are discussed in the context of previous research, and it is suggested that future studies would gain greater explanatory power by focusing explicitly on the social network structures likely to have characterised a particular archaeological population.","2016-10-01","2023-04-28 23:09:58","2023-04-28 23:28:03","2023-04-29","75-84","","","74","","","","","","","","","","","","","","","","","Publisher: Academic Press","","","","","Cultural transmission; Encounter rate; Hunter-gatherer; Mobility; Population density; Population size; Simulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
